lat,lon,value
56.26958311,26.18708343,123.2847672
56.27791645,26.18708343,51.43085861
56.28624978,26.18708343,28.11797333
56.29458311,26.18708343,21.53889084
56.30291645,26.18708343,16.96364403
56.31124978,26.18708343,14.36925125
56.31958311,26.18708343,11.71038437
56.32791645,26.18708343,9.709828377
56.33624978,26.18708343,8.836452484
56.34458311,26.18708343,8.617333412
56.35291645,26.18708343,11.52633572
56.36124978,26.18708343,11.79879284
56.36958311,26.18708343,9.822231293
56.38624978,26.18708343,9.160704613
56.39458311,26.18708343,8.943984985
56.40291645,26.18708343,8.497117996
56.41124978,26.18708343,8.390845299
56.41958311,26.18708343,9.036322594
56.42791645,26.18708343,9.074151993
56.43624978,26.18708343,8.849303246
56.44458311,26.18708343,7.906267166
56.46958311,26.18708343,7.403038979
56.47791645,26.18708343,7.37589407
56.48624978,26.18708343,7.25508976
56.16958311,26.17875009,61.25801086
56.17791645,26.17875009,44.86239243
56.18624978,26.17875009,28.60910797
56.19458311,26.17875009,21.85618782
56.20291645,26.17875009,34.21140671
56.21124978,26.17875009,91.34508514
56.21958311,26.17875009,179.8561707
56.22791645,26.17875009,225.9562225
56.23624978,26.17875009,285.7204895
56.24458311,26.17875009,275.6097107
56.25291645,26.17875009,271.7628784
56.26124978,26.17875009,235.8662262
56.26958311,26.17875009,104.6292343
56.27791645,26.17875009,43.12260056
56.28624978,26.17875009,25.88818741
56.29458311,26.17875009,18.61314392
56.30291645,26.17875009,19.06665039
56.31124978,26.17875009,16.22313881
56.31958311,26.17875009,12.43024445
56.32791645,26.17875009,9.74015522
56.33624978,26.17875009,8.597946167
56.34458311,26.17875009,7.823009014
56.35291645,26.17875009,7.169541359
56.36124978,26.17875009,6.8954072
56.37791645,26.17875009,9.656115532
56.38624978,26.17875009,9.187074661
56.39458311,26.17875009,9.074542999
56.40291645,26.17875009,8.697942734
56.41958311,26.17875009,9.362997055
56.42791645,26.17875009,11.75245857
56.43624978,26.17875009,12.57235336
56.44458311,26.17875009,13.08659935
56.54458311,26.17875009,5.703777313
56.55291645,26.17875009,5.668050766
56.16958311,26.17041676,77.32537079
56.17791645,26.17041676,61.1359024
56.18624978,26.17041676,28.71068954
56.19458311,26.17041676,22.98292351
56.20291645,26.17041676,29.58247375
56.21124978,26.17041676,64.44541168
56.21958311,26.17041676,156.1924744
56.22791645,26.17041676,245.8342133
56.23624978,26.17041676,273.4708862
56.24458311,26.17041676,272.0960693
56.25291645,26.17041676,257.8969727
56.26124978,26.17041676,203.8988037
56.26958311,26.17041676,87.79755402
56.27791645,26.17041676,38.01467896
56.28624978,26.17041676,22.33003235
56.29458311,26.17041676,17.41019058
56.30291645,26.17041676,16.91025162
56.31124978,26.17041676,15.3877697
56.31958311,26.17041676,12.15788651
56.32791645,26.17041676,9.778593063
56.33624978,26.17041676,9.191239357
56.34458311,26.17041676,8.229179382
56.35291645,26.17041676,7.257834911
56.36124978,26.17041676,7.059002876
56.37791645,26.17041676,9.797707558
56.38624978,26.17041676,9.363251686
56.39458311,26.17041676,9.369153976
56.41124978,26.17041676,8.243663788
56.41958311,26.17041676,11.06719589
56.42791645,26.17041676,13.1754055
56.43624978,26.17041676,14.55971622
